,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,1101,台泥,"23,663,072","10,925","1,018,547,236",43.40,43.40,42.90,43.00,-,0.4,42.95,161,43.00,"1,687",10.24
1,1101B,台泥乙特,"5,151",9,"274,832",53.30,53.50,53.20,53.50,X,0.0,53.20,58,53.50,28,0.00
2,1102,亞泥,"5,311,264","2,097","232,919,688",43.95,44.00,43.55,43.75,-,0.15,43.70,40,43.75,2,10.25
3,1103,嘉泥,"640,444",313,"11,561,705",18.15,18.20,17.95,18.10,-,0.05,18.05,11,18.10,104,34.15
4,1104,環泥,"407,022",231,"8,997,632",22.10,22.20,22.00,22.15,+,0.05,22.10,48,22.15,4,11.08
5,1108,幸福,"1,530,840",572,"19,258,290",12.75,12.80,12.45,12.55,-,0.2,12.50,25,12.55,21,13.64
6,1109,信大,"401,981",156,"8,050,897",20.10,20.10,19.95,20.05, ,0.0,20.05,1,20.10,44,7.51
7,1110,東泥,"88,136",52,"1,415,295",16.15,16.25,16.00,16.10,-,0.05,16.05,1,16.10,9,0.00
8,1201,味全,"699,378",425,"14,737,013",21.15,21.20,21.00,21.10,+,0.05,21.05,29,21.10,46,28.13
9,1203,味王,"11,197",56,"414,189",36.85,37.00,36.85,37.00,+,0.15,37.00,6,37.20,1,18.97
10,1210,大成,"4,081,066","2,596","218,226,071",53.50,54.00,53.00,53.20, ,0.0,53.20,22,53.30,30,15.03
11,1213,大飲,"1,502",3,"10,803",7.33,7.33,7.33,7.33,-,0.17,7.33,1,7.99,1,0.00
12,1215,卜蜂,"860,658",701,"64,607,429",75.10,75.30,74.70,75.20,+,0.1,75.10,4,75.20,12,11.43
13,1216,統一,"7,318,018","3,577","514,341,252",70.40,70.60,70.10,70.20,+,0.1,70.20,512,70.30,556,19.18
14,1217,愛之味,"3,262,108","1,075","29,838,316",9.18,9.26,9.09,9.09,-,0.08,9.09,60,9.10,3,22.17
15,1218,泰山,"828,392",476,"24,013,144",29.10,29.10,28.85,29.05,+,0.05,29.00,3,29.05,41,18.39
16,1219,福壽,"809,968",413,"16,436,516",20.50,20.55,20.15,20.25,-,0.2,20.20,59,20.25,5,10.77
17,1220,台榮,"64,007",49,"805,185",12.60,12.60,12.55,12.60, ,0.0,12.55,7,12.60,43,13.12
18,1225,福懋油,"100,581",89,"3,805,152",37.80,38.00,37.55,37.80,+,0.2,37.75,3,37.85,4,25.54
19,1227,佳格,"7,664,896","4,723","445,314,491",58.60,58.60,57.80,57.90,-,0.7,57.90,54,58.00,42,14.96
20,1229,聯華,"2,646,922","1,966","117,245,714",44.25,44.50,44.10,44.25,+,0.25,44.25,36,44.30,65,20.97
21,1231,聯華食,"349,599",308,"16,394,578",46.80,47.15,46.65,47.10,+,0.45,47.15,1,47.20,14,13.27
22,1232,大統益,"62,709",121,"8,638,670",138.00,138.00,137.50,137.50, ,0.0,137.00,8,138.00,20,20.01
23,1233,天仁,"20,011",19,"693,540",34.65,34.85,34.60,34.85,+,0.2,34.80,1,34.85,1,45.86
24,1234,黑松,"273,892",152,"9,040,886",33.10,33.10,32.95,33.05, ,0.0,33.00,5,33.05,48,15.09
25,1235,興泰,"1,456",9,"38,923",26.85,26.85,26.85,26.85, ,0.0,26.50,2,26.65,4,34.42
26,1236,宏亞,"12,378",50,"173,624",14.00,14.00,13.90,13.90,-,0.1,13.90,2,13.95,9,0.00
27,1256,鮮活果汁-KY,"36,240",119,"14,477,612",397.00,401.00,396.00,397.50,+,6.5,397.50,1,400.00,1,17.29
28,1301,台塑,"20,501,530","10,492","2,142,106,165",103.00,106.00,102.50,104.50,+,2.0,104.00,804,104.50,382,53.32
29,1303,南亞,"9,969,389","5,197","740,732,319",73.90,74.70,73.30,74.60,+,1.0,74.50,1,74.60,286,33.45
30,1304,台聚,"19,357,792","8,423","447,488,141",22.80,23.45,22.65,23.30,+,0.6,23.25,15,23.30,42,17.92
31,1305,華夏,"39,009,548","14,894","1,293,868,733",32.50,34.20,32.15,33.55,+,0.8,33.50,237,33.55,132,11.37
32,1307,三芳,"126,728",93,"2,744,103",21.75,21.75,21.60,21.60,-,0.1,21.60,10,21.70,48,40.75
33,1308,亞聚,"15,266,393","5,972","365,979,232",24.25,24.35,23.70,23.90,-,0.4,23.85,201,23.90,107,16.71
34,1309,台達化,"62,350,735","27,298","2,578,281,490",39.65,42.85,39.65,42.80,+,2.75,42.75,3,42.80,176,12.16
35,1310,台苯,"3,290,161","1,149","60,638,138",18.50,18.55,18.30,18.40, ,0.0,18.40,154,18.45,131,0.00
36,1312,國喬,"14,877,290","5,667","374,523,145",25.10,25.50,24.70,25.35,+,0.1,25.35,25,25.40,75,9.64
37,1312A,國喬特,"2,000",2,"64,950",32.10,32.85,32.10,32.85,-,0.1,32.10,1,32.85,1,0.00
38,1313,聯成,"8,295,091","2,845","155,070,471",18.90,18.90,18.40,18.70,-,0.2,18.65,121,18.70,83,30.66
39,1314,中石化,"46,188,332","7,834","512,503,249",11.25,11.30,11.00,11.05,-,0.15,11.05,86,11.10,"1,238",55.25
40,1315,達新,"267,184",221,"20,045,961",74.80,76.00,74.50,75.10,+,0.6,75.00,12,75.10,1,1.88
41,1316,上曜,"603,295",186,"7,194,160",11.90,12.00,11.85,11.85,-,0.05,11.85,61,11.90,9,0.00
42,1319,東陽,"855,824",627,"31,207,394",36.45,36.70,36.30,36.45, ,0.0,36.45,1,36.50,3,18.98
43,1321,大洋,"108,134",79,"3,773,787",35.10,35.10,34.80,34.85,-,0.3,34.85,12,34.95,2,13.51
44,1323,永裕,"384,164",190,"13,062,330",33.90,34.40,33.75,34.40,+,0.4,34.00,5,34.40,12,10.65
45,1324,地球,"50,073",34,"508,963",10.10,10.20,10.05,10.20,+,0.15,10.05,23,10.20,12,46.36
46,1325,恆大,"3,135,926","2,285","273,227,451",87.10,88.90,86.30,86.30,-,1.5,86.20,24,86.30,35,5.14
47,1326,台化,"4,696,867","2,289","416,250,151",88.50,89.40,88.10,88.80,+,0.3,88.70,22,88.80,204,41.69
48,1337,再生-KY,"4,041,113","1,353","36,285,525",9.02,9.18,8.85,8.85,+,0.1,8.85,26,8.88,1,0.00
49,1338,廣華-KY,"612,092",458,"39,526,134",63.80,65.20,63.60,64.40,+,1.3,64.40,9,64.50,1,22.76
50,1339,昭輝,"98,000",73,"3,965,400",40.40,40.60,40.30,40.40,+,0.1,40.35,1,40.45,1,26.58
51,1340,勝悅-KY,"264,511",208,"2,846,724",10.80,10.90,10.65,10.70, ,0.0,10.70,7,10.75,25,0.00
52,1341,富林-KY,"30,012",34,"1,861,080",61.30,63.00,61.10,63.00, ,0.0,62.70,2,63.00,3,11.43
53,1342,八貫,"59,030",49,"3,505,970",59.60,59.60,59.10,59.10,-,0.4,59.10,2,59.20,1,20.10
54,1402,遠東新,"7,657,829","2,830","227,259,689",29.80,29.85,29.50,29.75,-,0.15,29.70,79,29.75,152,17.81
55,1409,新纖,"7,971,459","1,731","117,214,426",14.85,14.95,14.50,14.60,-,0.25,14.60,46,14.65,142,9.67
56,1410,南染,"5,807",12,"196,478",33.90,34.10,33.60,33.60,-,0.25,33.60,7,33.95,4,39.53
57,1413,宏洲,"117,461",35,"958,049",8.13,8.20,8.13,8.13, ,0.0,8.13,6,8.19,8,0.00
58,1414,東和,"229,265",172,"2,913,794",12.80,12.80,12.60,12.75, ,0.0,12.70,2,12.75,5,28.98
59,1416,廣豐,"163,237",120,"1,758,875",10.80,10.80,10.75,10.80, ,0.0,10.75,46,10.80,48,0.00
60,1417,嘉裕,"302,339",183,"3,403,578",11.35,11.35,11.20,11.30,+,0.1,11.25,2,11.30,113,40.36
61,1418,東華,11,11,77,--,--,--,--, ,0.0,6.97,1,7.22,1,0.00
62,1419,新紡,"25,521",28,"1,037,267",40.60,40.80,40.50,40.60,-,0.15,40.55,1,40.70,1,37.25
63,1423,利華,"218,320",128,"4,388,225",20.10,20.30,19.95,20.05,+,0.1,20.05,66,20.10,8,0.00
64,1432,大魯閣,"200,906",132,"2,922,728",14.75,14.75,14.40,14.40,-,0.35,14.40,10,14.45,10,0.00
